"PTM1","PTM2","Log2FoldChange","pvalue"
"H3K9acK14ac","H4K5ac",0.417864057622507,0.1382
"H4K5ac","H3K9acK14ac",0.417864057622507,0.1382
"H4K5acK12ac","H3K9me3",0.512366703510253,0.1392
"H3K9me3","H4K5acK12ac",0.512366703510253,0.1392
"H4K5acK12ac","H4K12acK16ac",-0.4142275550148,0.1424
"H4K12acK16ac","H4K5acK12ac",-0.4142275550148,0.1424
"H4K8acK16ac","H3K36me2",0.310033557667917,0.1432
"H3K36me2","H4K8acK16ac",0.310033557667917,0.1432
"H4K8acK12acK16ac","H4K12ac",-0.0484654531319963,0.148
"H3K9me2K14ac","H3K36me2",0.0545772131155305,0.148
"H3K36me2","H3K9me2K14ac",0.0545772131155305,0.148
"H4K12ac","H4K8acK12acK16ac",-0.0484654531319963,0.148
"H4K5acK8acK12ac","H3K27me2K36me",-0.221347521010937,0.1494
"H3K27me2K36me","H4K5acK8acK12ac",-0.221347521010937,0.1494
